time,x,y,qx,qy,qz,qw
212.92718244900001,96.15601137176569,-84.05201557412767,-0.00013235144879247465,-1.4358988441341411e-05,0.9999359807134213,-0.011314448797966682
212.94621465100002,96.13167912222681,-84.0544078152709,-0.0001323520321048722,-1.4358784202972948e-05,0.9999392605392751,-0.011020776240029504
212.96710491000002,96.10734547175657,-84.05678576368457,-0.00013235269756487776,-1.4358579688709688e-05,0.999942454113158,-0.010727102998933351
212.98608234800002,96.08301042874996,-84.05914941855403,-0.00013235309116721387,-1.4358371133309347e-05,0.9999455614366773,-0.010433428946641699
213.00816809800003,96.05867400160325,-84.06149877906212,-0.0001323533429057088,-1.4358159970484774e-05,0.99994858251335,-0.010139753743459417
213.02996485300002,96.03433619871345,-84.06383384439249,-0.00013235382592778535,-1.4357949962612224e-05,0.9999515173416413,-0.009846077516625612
213.04983977100002,96.00999702847713,-84.06615461374041,-0.00013235446345637213,-1.4357740273174543e-05,0.9999543659175448,-0.009552400671658788
213.07027477300002,95.98565649929105,-84.06846108631122,-0.00013235487117421713,-1.4357527240683351e-05,0.9999571282415076,-0.009258723186626062
213.09063153800003,95.96131461955332,-84.0707532613093,-0.00013235507064078572,-1.4357311146560267e-05,0.9999598043169158,-0.008965044700301267
213.110366833,95.93697139766286,-84.07303113793793,-0.00013235544851149272,-1.4357095459129094e-05,0.9999623941433765,-0.008671365230214102
213.130889951,95.9126268420183,-84.07529471541035,-0.00013235603769668863,-1.4356880382417276e-05,0.9999648977172526,-0.008377685186489625
213.150257204,95.88828096101818,-84.07754399295155,-0.00013235645638494376,-1.4356662704527432e-05,0.999967315038034,-0.00808400465609564
213.17048093800003,95.86393376306222,-84.0797789697873,-0.0001323566181367916,-1.4356441806369102e-05,0.9999696461086648,-0.0077903232878798225
213.19074047,95.83958525655126,-84.08199964514091,-0.00013235689326735364,-1.4356220597375097e-05,0.9999718909296327,-0.007496640992236273
213.21001003900003,95.81523544988592,-84.08420601824378,-0.00013235742120022793,-1.435600004645962e-05,0.9999740494979016,-0.007202958155274679
213.232291597,95.79088435146659,-84.08639808833999,-0.0001323578513486194,-1.4355777592823302e-05,0.9999761218122716,-0.006909274969202758
213.251158768,95.76653196969461,-84.08857585467668,-0.00013235799397300549,-1.435555199660234e-05,0.9999781078750555,-0.006615591122759094
213.27141177700003,95.74217831297251,-84.09073931649776,-0.00013235817198873002,-1.4355325439649186e-05,0.9999800076873395,-0.006321906426640732
213.29169961300002,95.71782338970294,-84.09288847305284,-0.00013235862038526284,-1.4355099343032753e-05,0.9999818212468407,-0.0060282212117925196
213.312134154,95.69346720828804,-84.09502332360483,-0.0001323590495429078,-1.4354871906386953e-05,0.999983548551989,-0.005734535760773106
213.33348436900002,95.66910977713077,-84.09714386742172,-0.0001323591838818377,-1.4354641606421075e-05,0.9999851896043895,-0.005440849829194408
213.352930931,95.64475110463533,-84.09925010376844,-0.00013235927467474722,-1.4354409872960235e-05,0.9999867444054014,-0.005147163146793816
213.37535053800002,95.62039119920628,-84.1013420319132,-0.00013235963378896675,-1.4354178263066e-05,0.9999882129534934,-0.004853475967127169
213.395994594,95.59603006924763,-84.10341965113726,-0.00013236005434028605,-1.4353945702962626e-05,0.9999895952470206,-0.004559788644246981
213.41579596300002,95.57166772316378,-84.10548296072938,-0.00013236019469552637,-1.4353710672986142e-05,0.9999908912869233,-0.004266101022541424
213.43624175600002,95.54730416936054,-84.1075319599757,-0.00013236021254239085,-1.435347392083171e-05,0.9999921010745593,-0.0039724127731591875
213.45756496,95.52293941624428,-84.10956664816354,-0.0001323604712029113,-1.4353236862354683e-05,0.9999932246090677,-0.003678724051776482
213.477444006,95.49857347222083,-84.11158702459225,-0.00013236086427284024,-1.435299902746766e-05,0.9999942618889924,-0.003385035255679798
213.498954722,95.47420634569616,-84.11359308857085,-0.00013236101364702877,-1.4352759152782972e-05,0.9999952129147504,-0.0030913463319136615
213.51770890100002,95.44983804507757,-84.11558483940681,-0.00013236097279886464,-1.4352517484785953e-05,0.9999960776874691,-0.0027976569224390283
213.53873748,95.42546857877316,-84.11756227640696,-0.00013236112813814541,-1.4352275099555682e-05,0.9999968562067696,-0.002503967076733441
213.56008468000002,95.40109795519058,-84.11952539888873,-0.00013236148136567155,-1.4352031919355558e-05,0.9999975484715565,-0.002210277207600907
213.57980024800003,95.3767261827373,-84.12147420618079,-0.00013236164609890498,-1.4351787083323017e-05,0.9999981544819303,-0.001916587371928962
213.601056446,95.35235326982202,-84.12340869761228,-0.00013236156518127385,-1.4351540562803169e-05,0.9999986742386647,-0.0016228972124578407
213.620341974,95.32797922485447,-84.12532887250995,-0.00013236161612676747,-1.4351292988793072e-05,0.9999991077416395,-0.0013292066685410405
213.64135802,95.30360405624414,-84.12723473020932,-0.00013236190921184058,-1.4351044429752483e-05,0.9999994549902045,-0.001035516135284336
213.662116802,95.27922777240005,-84.12912627005839,-0.00013236208265640976,-1.4350794481893827e-05,0.999999715984386,-0.0007418257756926379
213.683128068,95.25485038173221,-84.13100349140748,-0.0001323619754486913,-1.4350543099981836e-05,0.9999998907245712,-0.000448135264359413
213.702798902,95.23047189265195,-84.13286639360395,-0.00013236192728963397,-1.435029047603293e-05,0.999999979210652,-0.0001544444392212093
213.72444124400002,95.20609231357042,-84.1347149760014,-0.00013236214790219333,-1.4350036573817e-05,0.999999981442396,0.00013924634969335903
213.743876932,95.18171165289826,-84.13654923796682,-0.00013236232735714027,-1.4349781386809299e-05,0.9999998974199888,0.00043293684282778535
213.76572150500002,95.15732991904675,-84.13836917887163,-0.0001323622114505308,-1.4349525086474145e-05,0.99999972714351,0.0007266273057543641
213.78483584900002,95.13294712042861,-84.14017479808405,-0.0001323620732916779,-1.4349267532705403e-05,0.9999994706126509,0.001020317988565064
213.80633913000003,95.10856326545674,-84.14196609497641,-0.00013236220522129148,-1.4349008374203367e-05,0.9999991278274764,0.0013140086145622106
